CaseID,CompleteTimestamp,Vessel,ActivityID,lifecycle:transition,event_id
21B26001E,2021-03-03 11:45:30.131,R602,Pump adjustment,complete,13
21B26001E,2021-03-03 11:45:38.000,R602,Circulation,start,14
21B26001E,2021-03-03 12:00:39.710,R602,Pump adjustment,complete,15
21B26001E,2021-03-03 12:01:05.464,R602,Pump adjustment,complete,16
21B24001E,2021-03-03 12:20:08.000,R501,Adjustment Charging,start,36
21B24001E,2021-03-03 12:43:46.000,R501,Adjustment Charging,complete,37
21B24001E,2021-03-03 12:43:58.734,R501,Agitator start,complete,38
21B21001E,2021-03-03 13:24:04.615,R601,Pump stop,complete,67
21B21001E,2021-03-03 13:25:52.000,R601,Bottling,complete,68
21B21001E,2021-03-03 13:56:47.449,R601,Pump adjustment,complete,69
21B24001E,2021-03-03 13:57:55.108,R501,Pump adjustment,complete,39
21B24001E,2021-03-03 13:57:59.957,R501,Pump start,complete,40
21B24001E,2021-03-03 13:58:36.666,R501,Pump adjustment,complete,41
21B24001E,2021-03-03 13:58:46.466,R501,Pump adjustment,complete,42
21B24001E,2021-03-03 13:58:58.964,R501,Pump adjustment,complete,43
21B21001E,2021-03-03 13:59:11.069,R601,Pump adjustment,complete,70
21B24001E,2021-03-03 13:59:15.371,R501,Pump adjustment,complete,44
21B21001E,2021-03-03 14:02:12.239,R601,Pump stop,complete,71
21B24001E,2021-03-03 14:05:49.939,R501,Pump adjustment,complete,45
21B26001E,2021-03-03 14:35:26.098,R602,Agitator stop,complete,17
21B21001E,2021-03-03 14:54:27.000,R601,Postwash,start,72
21B21001E,2021-03-03 14:59:15.845,R601,Pump adjustment,complete,73
21B21001E,2021-03-03 15:08:44.201,R601,Pump stop,complete,74
21B21001E,2021-03-03 15:08:48.154,R601,Pump adjustment,complete,75
21B21001E,2021-03-03 15:08:52.258,R601,Pump start,complete,76
21B26001E,2021-03-03 16:02:52.404,R602,Pump adjustment,complete,18
21B26001E,2021-03-03 16:03:07.606,R602,Pump adjustment,complete,19
21B21001E,2021-03-03 16:27:40.915,R601,Pump stop,complete,77
21B21001E,2021-03-03 16:43:26.632,R601,Pump adjustment,complete,78
21B21001E,2021-03-03 16:49:29.482,R601,Pump stop,complete,79
21B21001E,2021-03-03 17:03:21.963,R601,Pump adjustment,complete,80
21B21001E,2021-03-03 17:09:59.110,R601,Pump stop,complete,81
21B21001E,2021-03-03 17:10:14.379,R601,Pump adjustment,complete,82
21B21001E,2021-03-03 17:10:18.362,R601,Pump start,complete,83
21B24001E,2021-03-03 17:29:19.264,R501,Agitator stop,complete,46
21B24001E,2021-03-03 17:30:57.000,R501,Agitation,complete,47
21B24001E,2021-03-03 17:37:47.531,R501,Pump stop,complete,48
21B21001E,2021-03-03 18:35:36.717,R601,Pump stop,complete,84
21B21001E,2021-03-03 18:49:15.305,R601,Pump adjustment,complete,85
21B21001E,2021-03-03 18:56:49.016,R601,Pump stop,complete,86
21B26001E,2021-03-03 19:51:02.269,R602,Pump stop,complete,20
21B21001E,2021-03-04 06:26:31.502,R601,Pump adjustment,complete,87
21B21001E,2021-03-04 06:34:59.057,R601,Pump adjustment,complete,88
21B21001E,2021-03-04 06:35:02.922,R601,Pump start,complete,89
21B21001E,2021-03-04 06:37:32.435,R601,Pump adjustment,complete,90
